# Chunk-averaged data for fix chunk and group B
# Timestep Number-of-chunks Total-count
# Chunk OrigID Coord1 Ncount c_ke1 temp c_stress4[1] c_displace1[1] c_disp c_stress5[1]
100100 173 3444
  34 37 76.8061 24 3.30416e-06 0.0255621 -19222.5 0.00193881 13.1041 -19222.5
  35 38 78.8061 24 2.04763e-05 0.158412 -17774.8 0.000627482 13.1043 -17774.8
  36 39 80.8061 12 6.23809e-05 0.4826 -16675.9 -0.000303039 12.0379 -16675.9
  37 40 82.8061 24 0.00011511 0.890529 -15519 -0.0010504 13.1047 -15519
  38 41 84.8061 24 0.000160221 1.23952 -13912.1 -0.00172895 13.1049 -13912.1
  39 42 86.8061 12 0.000158602 1.227 -12657.7 -0.00199938 14.1718 -12657.7
  40 43 88.8061 24 0.000123573 0.956004 -11388 -0.00211196 13.1053 -11388
  41 44 90.8061 24 5.48442e-05 0.424293 -9750.64 -0.00225994 13.1055 -9750.64
  42 45 92.8061 12 1.18286e-05 0.0915099 -8530.49 -0.00253188 12.039 -8530.49
  43 46 94.8061 24 7.16954e-06 0.055466 -7281.25 -0.00314703 13.1058 -7281.25
  44 47 96.8061 24 6.98517e-05 0.540396 -5563.28 -0.00446717 13.1061 -5563.28
  45 48 98.8061 12 0.000156988 1.21451 -4224.66 -0.00569338 14.1729 -4224.66
  46 49 100.806 24 0.000241654 1.86952 -2866.85 -0.0068211 13.1065 -2866.85
  47 50 102.806 24 0.000286214 2.21425 -1152.62 -0.00757499 13.1068 -1152.62
  48 51 104.806 12 0.000253278 1.95945 -11.5805 -0.00734508 12.0403 -11.5805
  49 52 106.806 24 0.000172558 1.33497 959.044 -0.00645106 13.1072 959.044
  50 53 108.806 24 5.90377e-05 0.456736 2207.88 -0.00491439 13.1076 2207.88
  51 54 110.806 12 7.18866e-06 0.0556139 3365.43 -0.00393224 14.1745 3365.43
  52 55 112.806 24 1.28711e-05 0.0995752 4981.52 -0.00353745 13.108 4981.52
  53 56 114.806 24 9.32556e-05 0.721457 7787.19 -0.00395797 13.1084 7787.19
  54 57 116.806 12 0.000186018 1.4391 10229 -0.00480488 12.0419 10229
  55 58 118.806 24 0.000268771 2.0793 12747.9 -0.005686 13.1088 12747.9
  56 59 120.806 24 0.000317768 2.45836 15902.1 -0.00623122 13.1091 15902.1
  57 60 122.806 12 0.000294422 2.27774 18094.6 -0.00590063 14.1761 18094.6
  58 61 124.806 24 0.000213622 1.65265 20232.7 -0.00477028 13.1096 20232.7
  59 62 126.806 24 8.02621e-05 0.620935 23204.9 -0.00260835 13.11 23204.9
  60 63 128.806 12 1.05233e-05 0.0814119 25580.8 -0.000968617 12.0436 25580.8
  61 64 130.806 24 1.53254e-05 0.118563 28067.6 0.000237255 13.1105 28067.6
  62 65 132.806 24 0.00013647 1.05578 31368.8 0.00107161 13.1108 31368.8
  63 66 134.806 12 0.00028786 2.22698 33701.4 0.00123092 14.1778 33701.4
  64 67 136.806 24 0.000427622 3.30823 35841.3 0.0012737 13.1114 35841.3
  65 68 138.806 24 0.000498205 3.85428 38515.4 0.00169481 13.1117 38515.4
  66 69 140.806 12 0.000430801 3.33283 40435.6 0.00248778 12.0453 40435.6
  67 70 142.806 24 0.000270155 2.09001 42293.7 0.00379848 13.1122 42293.7
  68 71 144.806 24 6.4471e-05 0.49877 44637.2 0.0060528 13.1126 44637.2
  69 72 146.806 12 9.69603e-06 0.0750117 46208.1 0.00792971 14.1796 46208.1
  70 73 148.806 24 0.000108389 0.838534 47523.9 0.00975407 13.1132 47523.9
  71 74 150.806 24 0.00038827 3.00379 48940.7 0.0118409 13.1136 48940.7
